2022-03-19 12:04:44,911 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 12:04:44,911 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 12:04:45,349 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 12:04:45,349 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 12:04:45,693 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 12:05:14,124 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 12:05:14,530 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 12:05:14,530 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 12:05:14,859 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 12:05:14,875 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 12:05:15,312 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 12:05:15,312 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 12:05:15,656 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 12:19:25,185 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 12:19:25,623 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 12:19:25,623 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 12:19:25,967 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 12:19:25,982 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 12:19:26,326 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 12:19:26,326 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 12:19:26,670 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 12:19:26,686 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 12:19:27,029 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 12:19:27,045 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 12:19:27,389 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 12:19:27,405 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 12:19:27,749 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 12:19:27,764 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 12:19:28,108 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 12:19:28,124 | INFO | app.py:19 (connect) | connecting to the app
